                     %Lx                     obs                       s                guesserr                   error     directory
                 12.4876               1.5853555                       0                       0            1.377112e-14  ./initial-2/
                 12.4776               1.5866486                       0                       0            4.847707e-14  ./initial-1/
                 12.4676               1.5879597                       0                       0           1.4523631e-14  ./initial-0/
               12.091491               1.6591823              0.05522132           1.3667651e-05            3.702779e-14   search-0/
                11.96945               1.7055863             0.086059999           1.7734069e-05           3.7321675e-14   search-1/
               11.914581                1.742949               0.1100152            1.611152e-05           5.1825014e-15   search-2/
               11.895877               1.7642982              0.12355403           1.0051968e-05           5.6991927e-16   search-3/
               11.893936               1.8842607              0.19916165           1.1136627e-05           1.1601254e-14   search-4/
               11.934036               1.9548587               0.2437726           1.7205207e-05           2.5727225e-14   search-5/
                11.97796               2.0218803              0.28615998           1.6786872e-05           1.6073248e-15   search-6/
               12.019893               2.0985851              0.33462057            1.719357e-05           6.8765836e-15   search-7/
               12.031667               2.1304652              0.35473547           5.7603981e-06           3.3168906e-16   search-9/
               12.037616               2.1541156              0.36964899           2.1746046e-06           3.7333545e-14   search-11/
               12.041021               2.1784945              0.38501642           1.3407028e-06           1.6772592e-16   search-13/
               12.040146               2.2188625              0.41045881           5.4357619e-06           4.0589905e-16   search-14/
               12.029972               2.2616208              0.43741996           9.1201781e-06           1.5619782e-14   search-15/
               12.010282               2.3047091              0.46462258           1.2933722e-05           3.9948591e-14   search-16/
               11.981125               2.3508983              0.49382739           1.8229751e-05           4.0712928e-16   search-17/
               11.953533               2.3942201              0.52122075           1.9804208e-05           1.1177805e-14   search-18/
