            L2            u2            v2            w2           e3d           ecf         ubulk         wbulk     wallshear   wallshear_a   wallshear_b   dissipation
     0.0960335      0.132504     0.0126159     0.0269894     0.0504686   0.000887587             0             0      0.203576      0.101788     -0.101788      0.187057
     0.0988353      0.136194     0.0135262     0.0283717     0.0544868   0.000987913  -1.48255e-11   1.88073e-14       0.19461     0.0973048    -0.0973048      0.200293
      0.107583      0.148205     0.0152346     0.0308481     0.0600971     0.0011837  -8.06728e-12   3.62037e-14      0.228356      0.114178     -0.114178      0.232509
      0.116178      0.160012     0.0169867     0.0331995     0.0651226    0.00139075  -1.41522e-11  -5.37655e-14      0.264244      0.132122     -0.132122      0.267507
      0.124585      0.171539     0.0188168     0.0355359     0.0696404    0.00161687  -2.62722e-11    2.0927e-14      0.300663      0.150331     -0.150331      0.303227
      0.132938       0.18298     0.0207611     0.0378479     0.0736919    0.00186349   2.17095e-11   9.96486e-14      0.337865      0.168933     -0.168933      0.340114
      0.124552      0.171507       0.01876     0.0354921     0.0695883    0.00161163   4.76047e-11  -2.31908e-14      0.300214      0.150107     -0.150107      0.302937
      0.128735      0.177237     0.0197668      0.036629     0.0714943    0.00173241  -1.29978e-11  -9.36165e-15      0.319105      0.159552     -0.159552      0.320617
      0.132979       0.18305     0.0207545     0.0377976     0.0734762    0.00185941   5.06389e-12  -6.95598e-15      0.337854      0.168927     -0.168927      0.339475
      0.137209      0.188837     0.0217795     0.0389733     0.0753762    0.00199326   1.89657e-11  -6.06478e-14      0.357073      0.178536     -0.178536      0.358608
      0.135314      0.186247     0.0213224     0.0384343     0.0744728    0.00193184   9.66918e-12   -5.5147e-14       0.34855      0.174275     -0.174275       0.34977
      0.133419      0.183652     0.0208795     0.0379052     0.0735854    0.00187276   5.61391e-12  -3.28515e-14      0.340093      0.170047     -0.170047      0.341232
      0.133955      0.184386     0.0210048     0.0380561     0.0738355    0.00188947    6.6363e-12  -3.33792e-14      0.342528      0.171264     -0.171264      0.343592
      0.135244      0.186147      0.021317     0.0384292     0.0744605    0.00193122   3.15989e-12  -2.67704e-14      0.348656      0.174328     -0.174328      0.349494
      0.133911      0.184323     0.0210018     0.0380553     0.0738407    0.00188928   6.88061e-12  -1.09389e-14       0.34264       0.17132      -0.17132      0.343497
      0.134271      0.184816     0.0210868     0.0381563     0.0740078    0.00190055    5.4329e-12  -1.07757e-14      0.344268      0.172134     -0.172134      0.345102
      0.134806      0.185547     0.0212163     0.0383082     0.0742572    0.00191765   4.54231e-12  -1.39981e-14      0.346729      0.173364     -0.173364      0.347524
      0.134258      0.184796      0.021089     0.0381563     0.0740034    0.00190065   3.48175e-12  -3.67892e-15      0.344293      0.172147     -0.172147      0.345066
      0.135003      0.185815     0.0212657     0.0383653     0.0743507    0.00192413  -3.96794e-13   2.56024e-15      0.347662      0.173831     -0.173831      0.348431
      0.134254      0.184791      0.021089     0.0381558      0.074003    0.00190061    5.2751e-12  -9.18103e-15      0.344291      0.172145     -0.172145      0.345063
         0.135      0.185812     0.0212656      0.038365     0.0743507     0.0019241   1.48091e-12  -2.09774e-14      0.347664      0.173832     -0.173832      0.348428
