                     %Lx                     obs                       s                guesserr                   error     directory
               6.3276362               1.7608735                       0                       0           1.0483194e-14  ./initial-2/
               6.3176362               1.7792042                       0                       0           2.8469036e-16  ./initial-1/
               6.3076362               1.8068726                       0                       0           7.1639135e-16  ./initial-0/
               6.3132183               1.9142738             0.076002572           1.1931116e-05            3.228866e-16   search-0/
               6.3461304               1.9920146              0.12000614           1.7602452e-05            9.888966e-15   search-1/
               6.3909952               2.0706563              0.16477352           1.8283114e-05           3.4006551e-16   search-2/
                6.438621               2.1509675              0.21053749           1.7024579e-05           3.2617388e-16   search-3/
                6.479015               2.2314065              0.25619805           1.7986243e-05           5.2113639e-16   search-4/
               6.5051159                2.317602              0.30481999           1.9665128e-05            7.772314e-14   search-5/
               6.5092144                2.362224              0.32990814           6.5887331e-06           9.1729292e-15   search-7/
                6.506935               2.4028745              0.35275855           1.2221907e-05           8.6420224e-16   search-8/
               6.4969117               2.4539274              0.38149659           1.1711504e-05            6.849726e-14   search-9/
               6.4789151               2.5133788              0.41503241           1.6478484e-05           6.1308163e-16   search-10/
               6.4592619               2.5747107              0.44964402           1.8216458e-05           3.2057648e-16   search-11/
               6.4430245               2.6388884              0.48580649           1.9079729e-05            1.694577e-15   search-12/
               6.4346267               2.7014138              0.52097397           1.6591606e-05           5.7074221e-16   search-13/
               6.4339543               2.7189745              0.53084453           2.4134769e-06           1.2228416e-14   search-16/
               6.4345612               2.7435059              0.54463269           5.0272874e-06             2.61871e-15   search-17/
               6.4386818               2.7750208              0.56235762           6.7372435e-06            1.971507e-16   search-18/
               6.4468315               2.8029933              0.57813236           9.6955241e-06           2.0115861e-16   search-19/
