                     %Lz                     obs                       s                guesserr                   error     directory
                3.147606               1.9548667                       0                       0           3.6550484e-15  ./initial-2/
                3.137606               1.9431461                       0                       0           7.5701615e-15  ./initial-1/
                3.127606               1.9309624                       0                       0           2.5386393e-15  ./initial-0/
               3.0749007               1.8565702             0.048841145           1.1751019e-05           5.0569151e-15   search-0/
               3.0465918               1.8048664             0.076937515           1.6285372e-05           1.5272282e-14   search-1/
               3.0239994               1.7485965              0.10677743           1.9355751e-05           1.2838988e-16   search-2/
               3.0108722               1.6897071              0.13737109             1.72768e-05           2.3569826e-14   search-3/
               3.0094983               1.6741984               0.1453643           2.5294245e-06             2.15482e-15   search-6/
               3.0093058               1.6511601              0.15722062           4.1200827e-06           7.7246343e-17   search-7/
               3.0141671               1.6146565              0.17607026           5.7334304e-06           1.4196989e-16   search-8/
               3.0265648               1.5784717              0.19510661           9.1538634e-06           1.0881495e-16   search-9/
               3.0469039               1.5445905              0.21370887            9.794246e-06           3.8851191e-14   search-10/
               3.0760219                1.512786              0.23252429            9.764366e-06           1.1735706e-14   search-11/
               3.1137345               1.4837946              0.25168339           1.1036589e-05           7.9160624e-16   search-12/
               3.1595827               1.4577963               0.2714959           1.3329092e-05           1.3352012e-15   search-13/
               3.2123953               1.4349192               0.2920368           1.4803323e-05           4.3189549e-15   search-14/
               3.2705819               1.4150983              0.31320194            1.434485e-05           1.1859962e-14   search-15/
                3.332594               1.3980703              0.33482169           1.2297023e-05           6.8350788e-15   search-16/
               3.4059415               1.3816891              0.35967219           1.2160365e-05           6.0466293e-15   search-17/
               3.4815012               1.3678628              0.38478337           1.0045275e-05           5.7409705e-15   search-18/
               3.5761143                1.353713              0.41580469           1.1071801e-05           8.6717458e-15   search-19/
