                     %Lx                     obs                       s                guesserr                   error     directory
               7.8661571               2.0663034                       0                       0           4.7462269e-16  ./initial-2/
               7.8561571               2.0563558                       0                       0            3.671423e-16  ./initial-1/
               7.8461571               2.0464348                       0                       0           2.7945922e-16  ./initial-0/
               7.7405011                1.936387             0.060169611           1.1892229e-05           8.3717409e-14   search-0/
                7.681686               1.8521897              0.10179332           1.6986226e-05           4.1321563e-15   search-1/
                7.663871               1.7960695              0.12917845           6.8487538e-06           2.6681589e-14   search-3/
               7.6633079               1.7895421              0.13235354           2.6960439e-07             1.74138e-15   search-8/
                7.663118               1.7808779              0.13656695           1.8908556e-07           4.8273526e-15   search-9/
               7.6646459               1.7642658              0.14464771           1.4961783e-07           1.6378854e-15   search-10/
                7.675163               1.7327539              0.16003024           1.0013221e-06           4.5048679e-15   search-11/
               7.7192519               1.6804917              0.18605741           5.5350719e-06           5.9035003e-14   search-12/
               7.8021528               1.6302495              0.21267143            9.336054e-06           2.9318892e-14   search-13/
                7.923293               1.5846999              0.23966072           1.0555924e-05           3.9151305e-15   search-14/
               8.0817633                1.543828              0.26797925           1.1936617e-05           4.6881463e-15   search-15/
                8.272351               1.5079791              0.29785312           1.3297941e-05           1.4734098e-14   search-16/
               8.4869784               1.4771951              0.32900547           1.2813023e-05           1.4825585e-14   search-17/
               8.7178219               1.4510579              0.36102048           1.0640304e-05           4.5389585e-15   search-18/
               9.0097848               1.4247647              0.40032215           1.1290881e-05           2.7032899e-14   search-19/
